Month,Gross withdrawals,Marketable production 3,Imports 4,Residential consumption,Industrial consumption 5,Commercial consumption,Exports 6,Opening inventory,Closing inventory,Inventory change
Jan-16,"17,467,233.80","14,289,542.70","2,070,935.60","2,788,254.00","6,342,124.70","1,934,920.00","7,309,705.00","26,136,211.90","22,220,401.00","-3,915,810.90"
Feb-16,"16,162,352.60","13,607,932.10","1,884,700.10","2,384,213.00","5,712,100.10","1,767,570.00","6,676,732.00","22,220,401.00","20,472,651.70","-1,747,749.30"
Mar-16,"16,872,417.50","14,421,808.50","2,134,173.00","2,028,989.00","5,956,699.50","1,704,433.00","6,486,642.00","20,472,651.70","21,006,678.20","534,026.50"
Apr-16,"15,627,525.00","13,104,382.70","1,741,725.00","1,411,788.00","5,346,396.70","1,224,610.00","6,620,120.00","21,006,678.20","21,036,483.60","29,805.40"
May-16,"15,592,019.20","14,139,484.90","1,815,651.00","840,927.00","4,986,556.90","789,429.00","6,755,489.00","21,036,483.60","22,392,448.30","1,355,964.70"
Jun-16,"14,703,842.20","13,477,340.20","1,547,431.60","478,346.00","6,406,305.20","469,373.00","6,639,608.00","22,392,448.30","23,743,852.10","1,351,403.80"
Jul-16,"15,495,393.10","13,928,637.20","1,498,371.80","407,999.00","6,899,145.20","418,639.00","7,154,782.00","23,743,852.10","24,585,440.20","841,588.10"
Aug-16,"15,451,430.10","14,248,386.50","1,538,674.00","366,458.00","6,915,863.50","427,867.00","7,048,598.00","24,585,440.20","26,122,335.60","1,536,895.40"
Sep-16,"15,240,652.70","13,546,045.80","1,742,950.00","438,434.00","5,346,342.80","474,114.00","6,563,658.00","26,122,335.60","27,420,813.40","1,298,477.70"
Oct-16,"15,855,102.90","13,878,269.80","1,067,649.60","847,687.00","5,724,484.80","856,502.00","6,236,167.00","27,420,813.40","27,234,245.60","-186,567.70"
Nov-16,"15,824,091.50","13,812,936.70","2,062,066.00","1,406,999.00","5,872,756.70","1,248,912.00","6,265,854.00","27,234,245.60","26,993,148.40","-241,097.20"
Dec-16,"17,681,835.20","14,707,574.50","2,780,989.00","2,389,239.00","6,509,290.50","1,945,068.00","7,683,032.00","26,993,148.40","24,209,406.90","-2,783,741.50"
Jan-17,"17,246,392.50","15,045,933.00","2,886,859.50","2,908,417.00","6,371,201.00","2,272,378.00","7,836,756.00","24,209,406.90","21,097,550.60","-3,111,856.30"
Feb-17,"15,383,622.60","13,541,884.20","2,661,291.60","2,441,952.00","5,758,404.20","2,023,022.00","6,947,415.00","21,097,550.60","19,187,745.80","-1,909,804.80"
Mar-17,"17,165,011.80","15,123,152.30","2,844,827.20","2,370,158.00","6,309,017.30","2,016,325.00","7,805,841.00","19,187,745.80","17,236,143.50","-1,951,602.20"
Apr-17,"16,009,959.60","14,241,893.70","2,489,518.20","1,589,119.00","5,662,330.70","1,362,800.00","6,860,134.00","17,236,143.50","18,138,482.70","902,339.20"
May-17,"16,261,275.60","14,420,961.40","2,203,050.00","1,030,332.00","5,423,340.40","887,710.00","6,976,004.00","18,138,482.70","19,504,197.60","1,365,714.90"
Jun-17,"15,415,719.40","13,542,113.60","1,929,168.00","556,985.00","6,048,669.60","494,074.00","6,620,464.00","19,504,197.60","21,425,160.50","1,920,962.80"
Jul-17,"16,365,533.10","14,283,181.60","1,772,822.00","412,135.00","7,159,834.60","444,630.00","6,938,091.00","21,425,160.50","23,244,710.20","1,819,549.70"
