Date,CADUSD,Henry Hub (USD/MMBtu),AECO (USD/MMBtu)
Jan-16,0.7032,2.29,1.67
Feb-16,0.7249,1.93,1.3
Mar-16,0.7562,1.81,0.99
Apr-16,0.7803,2.02,0.87
May-16,0.7728,2.09,1.04
Jun-16,0.7755,2.63,1.55
Jul-16,0.7663,2.76,1.78
Aug-16,0.7696,2.73,1.82
Sep-16,0.7629,2.9,1.98
Oct-16,0.7547,3.07,2.29
Nov-16,0.7442,2.88,2.08
Dec-16,0.7503,3.59,2.6
Jan-17,0.758,3.32,2.19
Feb-17,0.7629,2.92,1.92
Mar-17,0.747,2.99,1.94
Apr-17,0.7441,3.19,2.07
May-17,0.735,3.22,2.18
Jun-17,0.7521,2.99,1.89
Jul-17,0.7883,2.96,1.79
Aug-17,0.7934,2.91,1.36
Sep-17,0.8142,3.01,1.32
Oct-17,0.7935,2.91,1.7
Nov-17,0.7832,3.06,1.73
Dec-17,0.7831,2.78,1.49
Jan-18,0.8047,3.16,1.58
Feb-18,0.7946,2.66,1.23
Mar-18,0.7733,2.7,1.16
Apr-18,0.7855,2.72,0.69
May-18,0.7768,2.84,0.58
Jun-18,0.7618,2.94,1.17
Jul-18,0.7616,2.8,1.06
Aug-18,0.7668,2.91,1.03
Sep-18,0.7671,2.9,1.03
Oct-18,0.7687,3.2,1.62
Nov-18,0.7576,4.08,1.72
Dec-18,0.7446,3.92,1.27
Jan-19,0.7519,3.12,1.37
Feb-19,0.7573,2.68,1.59
Mar-19,0.7481,2.8,1.09
Apr-19,0.7475,2.6,0.9
May-19,0.743,2.59,1.2
Jun-19,0.7527,2.33,0.58
Jul-19,0.7633,2.3,0.9
Aug-19,0.7532,2.17,0.91
