Date,U.S. Natural Gas Total Consumption (MMcf)
Jan-16,3091695
Feb-16,2652260
Mar-16,2356298
Apr-16,2083848
May-16,1965799
Jun-16,2000656
Jul-16,2186616
Aug-16,2208375
Sep-16,1947752
Oct-16,1925203
Nov-16,2159445
Dec-16,2866273
Jan-17,2916275
Feb-17,2341960
Mar-17,2524803
Apr-17,1932294
May-17,1891341
Jun-17,1909655
Jul-17,2140575
Aug-17,2092870
Sep-17,1919740
Oct-17,2031499
Nov-17,2358536
Dec-17,3086335
Jan-18,3337265
Feb-18,2707400
Mar-18,2793785
Apr-18,2346117
May-18,2049663
Jun-18,2057294
Jul-18,2342950
Aug-18,2306189
Sep-18,2150222
Oct-18,2278553
Nov-18,2710840
Dec-18,2995054
Jan-19,3400421
Feb-19,2999637
Mar-19,2900363
Apr-19,2201582
May-19,2121523
Jun-19,2115736
Jul-19,2408122
Aug-19,2430780
,
